inicio,varinicio,varfim,pt_v,id,vir,inteiro,real,literal,leia,escreva,lit,num,atr,opm,se,ab_p,fc_p,entao,opr,fimse,repita,fimrepita,fim,$,P',P,V,LV,D,L,TIPO,A,ES,ARG,CMD,LD,OPRD,COND,CAB,EXP_R,CP,R,CABR,CPR
s2,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,1,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43
E44,E45,E46,E47,E48,E49,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E60,E61,E62,E63,E64,E65,E66,E67,acc,E68,E69,E70,E71,E72,E73,E74,E75,E76,E77,E78,E79,E80,E81,E82,E83,E84,E85,E86,E87
E88,s4,E89,E90,E91,E92,E93,E94,E95,E96,E97,E98,E99,E100,E101,E102,E103,E104,E105,E106,E107,E108,E109,E110,E111,E112,E113,3,E114,E115,E116,E117,E118,E119,E120,E121,E122,E123,E124,E125,E126,E127,E128,E129,E130
E131,E132,E133,E134,s13,E135,E136,E137,E138,s11,s12,E139,E140,E141,E142,s16,E143,E144,E145,E146,E147,s17,E148,s10,E149,E150,E151,E152,E153,E154,E155,E156,5,6,E157,7,E158,E159,8,14,E160,E161,9,15,E162
E163,E164,s20,E165,E166,E167,s22,s23,s24,E168,E169,E170,E171,E172,E173,E174,E175,E176,E177,E178,E179,E180,E181,E182,E183,E184,E185,E186,18,19,E187,21,E188,E189,E190,E191,E192,E193,E194,E195,E196,E197,E198,E199,E200
E201,E202,E203,E204,E205,E206,E207,E208,E209,E210,E211,E212,E213,E214,E215,E216,E217,E218,E219,E220,E221,E222,E223,E224,r1,E225,E226,E227,E228,E229,E230,E231,E232,E233,E234,E235,E236,E237,E238,E239,E240,E241,E242,E243,E244
E245,E246,E247,E248,s13,E249,E250,E251,E252,s11,s12,E253,E254,E255,E256,s16,E257,E258,E259,E260,E261,s17,E262,s10,E263,E264,E265,E266,E267,E268,E269,E270,25,6,E271,7,E272,E273,8,14,E274,E275,9,15,E276
E277,E278,E279,E280,s13,E281,E282,E283,E284,s11,s12,E285,E286,E287,E288,s16,E289,E290,E291,E292,E293,s17,E294,s10,E295,E296,E297,E298,E299,E300,E301,E302,26,6,E303,7,E304,E305,8,14,E306,E307,9,15,E308
E309,E310,E311,E312,s13,E313,E314,E315,E316,s11,s12,E317,E318,E319,E320,s16,E321,E322,E323,E324,E325,s17,E326,s10,E327,E328,E329,E330,E331,E332,E333,E334,27,6,E335,7,E336,E337,8,14,E338,E339,9,15,E340
E341,E342,E343,E344,s13,E345,E346,E347,E348,s11,s12,E349,E350,E351,E352,s16,E353,E354,E355,E356,E357,s17,E358,s10,E359,E360,E361,E362,E363,E364,E365,E366,28,6,E367,7,E368,E369,8,14,E370,E371,9,15,E372
E373,E374,E375,E376,E377,E378,E379,E380,E381,E382,E383,E384,E385,E386,E387,E388,E389,E390,E391,E392,E393,E394,E395,E396,r38,E397,E398,E399,E400,E401,E402,E403,E404,E405,E406,E407,E408,E409,E410,E411,E412,E413,E414,E415,E416
E417,E418,E419,E420,s29,E421,E422,E423,E424,E425,E426,E427,E428,E429,E430,E431,E432,E433,E434,E435,E436,E437,E438,E439,E440,E441,E442,E443,E444,E445,E446,E447,E448,E449,E450,E451,E452,E453,E454,E455,E456,E457,E458,E459,E460
E461,E462,E463,E464,s33,E465,E466,E467,E468,E469,E470,s31,s32,E471,E472,E473,E474,E475,E476,E477,E478,E479,E480,E481,E482,E483,E484,E485,E486,E487,E488,E489,E490,E491,30,E492,E493,E494,E495,E496,E497,E498,E499,E500,E501
E502,E503,E504,E505,E506,E507,E508,E509,E510,E511,E512,E513,E514,s34,E515,E516,E517,E518,E519,E520,E521,E522,E523,E524,E525,E526,E527,E528,E529,E530,E531,E532,E533,E534,E535,E536,E537,E538,E539,E540,E541,E542,E543,E544,E545
E546,E547,E548,E549,s13,E550,E551,E552,E553,s11,s12,E554,E555,E556,E557,s16,E558,E559,E560,E561,s39,E562,E563,E564,E565,E566,E567,E568,E569,E570,E571,E572,E573,36,E574,37,E575,E576,38,14,E577,35,E578,E579,E580
E581,E582,E583,E584,s13,E585,E586,E587,E588,s11,s12,E589,E590,E591,E592,s16,E593,E594,E595,E596,E597,E598,s44,E599,E600,E601,E602,E603,E604,E605,E606,E607,E608,41,E609,42,E610,E611,43,14,E612,E613,E614,E615,40
E616,E617,E618,E619,E620,E621,E622,E623,E624,E625,E626,E627,E628,E629,E630,E631,s45,E632,E633,E634,E635,E636,E637,E638,E639,E640,E641,E642,E643,E644,E645,E646,E647,E648,E649,E650,E651,E652,E653,E654,E655,E656,E657,E658,E659
E660,E661,E662,E663,E664,E665,E666,E667,E668,E669,E670,E671,E672,E673,E674,E675,s46,E676,E677,E678,E679,E680,E681,E682,E683,E684,E685,E686,E687,E688,E689,E690,E691,E692,E693,E694,E695,E696,E697,E698,E699,E700,E701,E702,E703
E704,E705,E706,E707,r2,E708,E709,E710,E711,r2,r2,E712,E713,E714,E715,r2,E716,E717,E718,E719,E720,r2,E721,r2,E722,E723,E724,E725,E726,E727,E728,E729,E730,E731,E732,E733,E734,E735,E736,E737,E738,E739,E740,E741,E742
E743,E744,s20,E745,E746,E747,s22,s23,s24,E748,E749,E750,E751,E752,E753,E754,E755,E756,E757,E758,E759,E760,E761,E762,E763,E764,E765,E766,47,19,E767,21,E768,E769,E770,E771,E772,E773,E774,E775,E776,E777,E778,E779,E780
E781,E782,E783,s48,E784,E785,E786,E787,E788,E789,E790,E791,E792,E793,E794,E795,E796,E797,E798,E799,E800,E801,E802,E803,E804,E805,E806,E807,E808,E809,E810,E811,E812,E813,E814,E815,E816,E817,E818,E819,E820,E821,E822,E823,E824
E825,E826,E827,E828,s50,E829,E830,E831,E832,E833,E834,E835,E836,E837,E838,E839,E840,E841,E842,E843,E844,E845,E846,E847,E848,E849,E850,E851,E852,E853,49,E854,E855,E856,E857,E858,E859,E860,E861,E862,E863,E864,E865,E866,E867
E868,E869,E870,E871,r8,E872,E873,E874,E875,E876,E877,E878,E879,E880,E881,E882,E883,E884,E885,E886,E887,E888,E889,E890,E891,E892,E893,E894,E895,E896,E897,E898,E899,E900,E901,E902,E903,E904,E905,E906,E907,E908,E909,E910,E911
