inicio,varinicio,varfim,pt_v,id,vir,inteiro,real,literal,leia,escreva,lit,num,atr,opm,se,ab_p,fc_p,entao,opr,fimse,repita,fimrepita,fim,$,P',P,V,LV,D,L,TIPO,A,ES,ARG,CMD,LD,OPRD,COND,CAB,EXP_R,CP,R,CABR,CPR
s2,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,1,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,acc,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
E,s4,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,3,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
E,E,E,E,s13,E,E,E,E,s11,s12,E,E,E,E,s16,E,E,E,E,E,s17,E,s10,E,E,E,E,E,E,E,E,5,6,E,7,E,E,8,14,E,E,9,15,E
E,E,s20,E,E,E,s22,s23,s24,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,18,19,E,21,E,E,E,E,E,E,E,E,E,E,E,E,E
E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,r1,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
E,E,E,E,s13,E,E,E,E,s11,s12,E,E,E,E,s16,E,E,E,E,E,s17,E,s10,E,E,E,E,E,E,E,E,25,6,E,7,E,E,8,14,E,E,9,15,E
E,E,E,E,s13,E,E,E,E,s11,s12,E,E,E,E,s16,E,E,E,E,E,s17,E,s10,E,E,E,E,E,E,E,E,26,6,E,7,E,E,8,14,E,E,9,15,E
E,E,E,E,s13,E,E,E,E,s11,s12,E,E,E,E,s16,E,E,E,E,E,s17,E,s10,E,E,E,E,E,E,E,E,27,6,E,7,E,E,8,14,E,E,9,15,E
E,E,E,E,s13,E,E,E,E,s11,s12,E,E,E,E,s16,E,E,E,E,E,s17,E,s10,E,E,E,E,E,E,E,E,28,6,E,7,E,E,8,14,E,E,9,15,E
E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,r38,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
E,E,E,E,s29,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
E,E,E,E,s33,E,E,E,E,E,E,s31,s32,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,30,E,E,E,E,E,E,E,E,E,E
E,E,E,E,E,E,E,E,E,E,E,E,E,s34,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
E,E,E,E,s13,E,E,E,E,s11,s12,E,E,E,E,s16,E,E,E,E,s39,E,E,E,E,E,E,E,E,E,E,E,E,36,E,37,E,E,38,14,E,35,E,E,E
E,E,E,E,s13,E,E,E,E,s11,s12,E,E,E,E,s16,E,E,E,E,E,E,s44,E,E,E,E,E,E,E,E,E,E,41,E,42,E,E,43,14,E,E,E,E,40
E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,s45,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,s46,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
E,E,E,E,r2,E,E,E,E,r2,r2,E,E,E,E,r2,E,E,E,E,E,r2,E,r2,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
E,E,s20,E,E,E,s22,s23,s24,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,47,19,E,21,E,E,E,E,E,E,E,E,E,E,E,E,E
E,E,E,s48,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
E,E,E,E,s50,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,49,E,E,E,E,E,E,E,E,E,E,E,E,E,E
E,E,E,E,r8,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
E,E,E,E,r9,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
E,E,E,E,r10,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,r11,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,r17,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,r23,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,r31,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
E,E,E,s51,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
E,E,E,s52,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
E,E,E,r14,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
E,E,E,r15,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
E,E,E,r16,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
E,E,E,E,s55,E,E,E,E,E,E,E,s56,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,53,54,E,E,E,E,E,E,E
E,E,E,E,r24,E,E,E,E,r24,r24,E,E,E,E,r24,E,E,E,E,r24,r24,r24,r24,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
E,E,E,E,s13,E,E,E,E,s11,s12,E,E,E,E,s16,E,E,E,E,s39,E,E,E,E,E,E,E,E,E,E,E,E,36,E,37,E,E,38,14,E,57,E,E,E
E,E,E,E,s13,E,E,E,E,s11,s12,E,E,E,E,s16,E,E,E,E,s39,E,E,E,E,E,E,E,E,E,E,E,E,36,E,37,E,E,38,14,E,58,E,E,E
E,E,E,E,s13,E,E,E,E,s11,s12,E,E,E,E,s16,E,E,E,E,s39,E,E,E,E,E,E,E,E,E,E,E,E,36,E,37,E,E,38,14,E,59,E,E,E
